track_id,song_id,artist_id,artist_name,song_title,genre,tfidf_raw_top1,tfidf_raw_top2,tfidf_raw_top3,tfidf_centered_top1,tfidf_centered_top2,tfidf_centered_top3,tfidf_correlation_top1,tfidf_correlation_top2,tfidf_correlation_top3,tfidf_cosine_top1,tfidf_cosine_top2,tfidf_cosine_top3
TRVYEUW128F148C08D,SOFCCWD12AF72A6BC0,ARXPPEY1187FB51DF4,Michael Jackson,All The Things You Are,blues,Happy Boys & Girls,Angel,Being With You,Happy Boys & Girls,Being With You,Baby Be Mine,These Arms Of Mine,Please Baby,Baby Be Mine,These Arms Of Mine,Please Baby,Baby Be Mine
TRCXKPC128F92FD04C,SOEFNXT12AB017E829,ARZENOX1187B98A645,John Mayer,Vultures,blues,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Honest Expression,Fire and Heights,Mainstream,Never Gonna Give You Up,Never Gonna Give You Up,Fire and Heights,Jerusalem,Fire and Heights,Never Gonna Give You Up,Jerusalem
TRMMALW128F92FD049,SOVUCRS12A58A7D207,ARZENOX1187B98A645,John Mayer,Out Of My Mind,blues,Interlude 5,If I Had,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),If I Had,Interlude 5,Say Now,Half Right,Hades Lady,Sad Lover's Waltz,Half Right,If I Had,Half Of My Mistakes
TRJWAJC128F9327C4F,SORMDVX12AB01816AA,ARLMXEA1187B9A7D04,R. Kelly,Hump Bounce,blues,Ear Drums Pop,1st Booty On Duty,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Ear Drums Pop,Let's All Get Drunk,1st Booty On Duty,Here We Go,Don't Stop,Disco,Here We Go,Don't Stop,Here I Am (Come And Take Me)
TRPEBTH128F9327C4D,SOYTJAC12AF729F49D,ARLMXEA1187B9A7D04,R. Kelly,Intro - The Sermon,blues,Interlude 5,Man In The Mirror,Honest Expression,Man In The Mirror,Interlude 5,Honest Expression,The Way It Is,Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),Oh Well,Pass The Mic (Pt. 2_ Skills To Pay The Bills) (2009 Digital Remaster),Interlude 5,The Way It Is
TRNWHUD128F932E304,SOXUKQZ12AB01860EE,ARXPPEY1187FB51DF4,Michael Jackson,Call On Me,blues,Interlude 5,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Just Right,Just Right,I'm Gon' Change,Oh Baby I,Just Right,Oh Baby I,5:19,Just Right,Oh Baby I,5:19
TRFGGSX128F427A723,SOIBZAN12D02191BAF,ARS8GNX1187B9B5141,The Black Keys,Oceans and Streams,blues,8 Mile,Man In The Mirror,Da Mystery Of Chessboxin',Man In The Mirror,Dreams,Living For Today,What Can I Say,Dreams,Time To Grow,What Can I Say,Time To Grow,Dreams
TRPTCMZ128F9340B09,SOLKOOO12AB018794A,ARS8GNX1187B9B5141,The Black Keys,10 A.M. Automatic,blues,Interlude 5,Hey Ya!,She Ain't Afraid,Hey Ya!,Interlude 5,Alright,Bonin' In The Boneyard,Rockin' Pneumonia,Baby Help Me,Bonin' In The Boneyard,Rockin' Pneumonia,Baby Help Me
TRVKLGW12903CB4523,SOZCSPA12AB0185672,ARS8GNX1187B9B5141,The Black Keys,Aeroplane Blues,blues,Otha Fish,8 Mile,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Land Of The Free,13 Months Of Sunshine,Otha Fish,13 Months Of Sunshine,Sufferin' In The Land,Masters Of Revenge,13 Months Of Sunshine,Sufferin' In The Land,Elephant Clouds
TRFBNZN128F9340B0E,SONGYFE12AB018562D,ARS8GNX1187B9B5141,The Black Keys,All Hands Against His Own,blues,She Got Kids,Brotha,Find A Way,She Got Kids,Brotha,Gehenna,Outside The Trains Don't Run On Time,Brotha,GO,Outside The Trains Don't Run On Time,Brotha,GO
TRBYDKJ12903CA9D33,SOTXSMC12AB0182217,ARS8GNX1187B9B5141,The Black Keys,Black Door,blues,Jeep Ass Niguh,Man In The Mirror,Take Me To The Backseat (Album Version),Jeep Ass Niguh,Man In The Mirror,Take Me To The Backseat (Album Version),Take Me To The Backseat (Album Version),Oh Baby I,Don't Bother Me (Bad Brains),Take Me To The Backseat (Album Version),Jeep Ass Niguh,Oh Baby I
TRWJKJK128F9338FEF,SOIFDQD12AB01822F5,ARS8GNX1187B9B5141,The Black Keys,Busted,blues,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Interlude 5,Slam,Caught Up,Slam Harder,Slam,If Trust Is Broken...,Caught Up,Walk The Proud Land,Caught Up,If Trust Is Broken...,These Boots Are Made For Walkin'
TRUULBP12903CA9D23,SORMOIW12AB01887F0,ARS8GNX1187B9B5141,The Black Keys,Give Your Heart Away,blues,Man In The Mirror,5 Miles To Empty,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),Man In The Mirror,5 Miles To Empty,Share My World,Share My World,One Night,Take Me Away,Share My World,Anytime,One Night
TRYYJHJ128F9340B19,SOKGVJH12A58A77920,ARS8GNX1187B9B5141,The Black Keys,Grown So Ugly,blues,Interlude 5,Snoopafella (Edited),Safe + Sound,Snoopafella (Edited),Louise,Interlude 5,Whose Muddy Shoes,Louise,Snoopafella (Edited),Whose Muddy Shoes,Louise,Snoopafella (Edited)
TRHHJCL12903CB44B7,SOFRWHG12A58A7DF46,ARS8GNX1187B9B5141,The Black Keys,Hard Row,blues,Man In The Mirror,Mr. Outsider,Pray For Me,Man In The Mirror,Mr. Outsider,Enjoy Yourself,Enjoy Yourself,Let Yourself Go,Whatever Gets You Through The Day,Enjoy Yourself,Let Yourself Go,Whatever Gets You Through The Day
TRWZXDS128F427A71B,SOAJJDS12A8C13A3FB,ARS8GNX1187B9B5141,The Black Keys,I Got Mine,blues,You Left Me,Do The Bartman,A game,You Left Me,Nobody,Rock Wit U (Awww Baby),Winter Rose,Please Baby,Rollin' Mama Blues,Winter Rose,Please Baby,Rollin' Mama Blues
TRZDLWE12903CB44DE,SOURIRH12A58A7B408,ARS8GNX1187B9B5141,The Black Keys,If You See Me,blues,Man In The Mirror,Fool For Love,Soopaman Luva 3,Man In The Mirror,Treat Me Like A Lady,Fool For Love,Treat Me Like A Lady,Door To My Heart,Candy Man,Treat Me Like A Lady,Door To My Heart,Treat The Youths Right
TRNZQVO128F427A71E,SOIQUSV12A8C13A402,ARS8GNX1187B9B5141,The Black Keys,Lies,blues,One of Us,Interlude 5,Hey Ya!,Hey Ya!,Blinded By Love,Kiss Of Death,Where Are You?,Crossover Interlude,Kiss Of Death,Kiss Of Death,Close Your Eyes,I've Always Been A Coward Baby
